Regionaleinheit;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08327016900-01 Stadt Fridingen an der Donau Briefwahl Fridingen 08327016000-01;;;;;1103;1103;13;1090;347;412;79;74;91;22;10;;;30;;;;5;;;7;;;8;5;
08327017001-01 Gemeinde Frittlingen Frittlingen 08327017001;1447;773;674;0;363;0;5;358;83;106;55;20;50;11;8;;;8;;;;4;;;6;;;6;1;
08327017900-01 Gemeinde Frittlingen Briefwahl 08327017B1;;;;;651;651;9;642;198;247;37;37;71;15;9;;;12;;;;1;;;3;;;9;3;
08327018001-01 Stadt Geisingen Geisingen 0832701800101;2050;1479;571;0;501;0;4;497;104;127;74;37;105;11;3;;;14;;;;8;;;2;;;9;3;
08327018001-02 Stadt Geisingen Gutmadingen 0832701802002;590;391;199;0;210;0;1;209;66;64;14;16;42;2;2;;;3;;;;0;;;0;;;0;0;
08327018001-03 Stadt Geisingen Kirchen-Hausen 0832701803003;780;518;262;0;259;0;2;257;45;55;60;13;54;11;1;;;8;;;;8;;;2;;;0;0;
08327018001-04 Stadt Geisingen Aulfingen 0832701804004;441;317;124;0;169;2;0;169;33;45;31;12;29;6;1;;;7;;;;3;;;1;;;1;0;
08327018001-05 Stadt Geisingen Leipferdingen 0832701805005;642;425;217;0;269;0;2;267;55;99;31;11;59;1;0;;;9;;;;0;;;1;;;0;1;
08327018900-01 Stadt Geisingen Briefwahl I 0832701800001;;;;;651;651;9;642;173;208;50;45;85;17;9;;;25;;;;4;;;15;;;7;4;
08327018900-02 Stadt Geisingen Briefwahl II 0832701800002;;;;;647;647;3;644;156;233;36;52;106;19;6;;;21;;;;6;;;3;;;2;4;
08327019001-01 Gemeinde Gosheim 04001 Jurahalle 0832701904001;2567;1674;893;0;704;1;7;697;105;206;158;43;106;18;7;;;18;;;;18;;;3;;;13;2;
08327019900-01 Gemeinde Gosheim Briefwahl B1 08327019B1;;;;;448;448;1;447;84;193;47;16;62;6;6;;;14;;;;3;;;2;;;8;6;
08327019900-02 Gemeinde Gosheim Briefwahl B2 08327019B2;;;;;395;395;2;393;78;183;30;13;51;8;5;;;7;;;;10;;;5;;;1;2;
08327020001-01 Gemeinde Gunningen Gunningen 08327020001-01;572;375;197;0;183;1;5;178;46;49;25;4;26;8;2;;;7;;;;7;;;0;;;2;2;
08327020900-01 Gemeinde Gunningen Briefwahl 08327020000-01;;;;;190;190;4;186;45;64;18;12;25;6;0;;;4;;;;7;;;2;;;2;1;
08327023001-01 Gemeinde Hausen ob Verena Hausen o.V. 08327023001-01;593;383;210;0;209;0;5;204;68;38;37;16;25;5;2;;;6;;;;5;;;2;;;0;0;
08327023900-01 Gemeinde Hausen ob Verena Briefwahl 08327023000-01;;;;;205;205;0;205;87;55;13;15;23;5;0;;;5;;;;0;;;2;;;0;0;
08327025001-01 Gemeinde Immendingen 01-001 Donauhalle Immendingen 0832702501001;1757;1107;650;0;310;0;7;303;57;62;93;31;23;10;4;;;6;;;;6;;;3;;;5;3;
08327025001-02 Gemeinde Immendingen 02-001 Zimmern 0832702502001;1037;679;358;0;281;0;5;276;66;62;65;16;35;7;0;;;9;;;;3;;;4;;;5;4;
08327025001-03 Gemeinde Immendingen 03-001 Mauenheim 0832702503001;355;255;100;0;129;0;5;124;31;38;23;3;17;3;0;;;5;;;;3;;;0;;;0;1;
08327025001-04 Gemeinde Immendingen 04-001 Hattingen 0832702504001;618;395;223;0;215;0;8;207;49;60;37;10;24;4;2;;;14;;;;3;;;1;;;2;1;
08327025001-05 Gemeinde Immendingen 05-001 Ippingen 0832702505001;344;230;114;0;156;1;3;153;27;59;19;7;12;1;0;;;12;;;;3;;;0;;;11;2;
08327025001-06 Gemeinde Immendingen 06-001 Hintschingen 0832702506001;179;109;70;0;69;0;0;69;18;21;9;7;8;1;1;;;2;;;;0;;;2;;;0;0;
08327025900-01 Gemeinde Immendingen 00-001 Briefwahl 0832702500001;;;;;1451;1451;8;1443;448;473;138;124;145;40;9;;;28;;;;11;;;6;;;10;11;
08327027001-01 Gemeinde Irndorf Irndorf 08327027001-01;560;328;232;0;202;0;1;201;58;71;21;11;25;6;0;;;4;;;;2;;;0;;;2;1;
08327027900-01 Gemeinde Irndorf Briefwahl 08327027000-01;;;;;219;219;2;217;53;76;28;13;23;8;2;;;5;;;;3;;;3;;;1;2;
08327029001-01 Gemeinde Königsheim Königsheim 08327029001-01;427;278;149;0;161;0;1;160;27;61;20;5;31;2;0;;;8;;;;0;;;0;;;2;4;
08327029900-01 Gemeinde Königsheim Briefwahl 08327029000-01;;;;;148;148;3;145;32;83;5;4;13;1;0;;;1;;;;1;;;1;;;2;2;
08327030001-01 Gemeinde Kolbingen Kolbingen 08327030001-01;982;533;449;0;281;0;7;274;52;86;53;16;36;5;1;;;12;;;;3;;;4;;;5;1;
08327030900-01 Gemeinde Kolbingen Briefwahl 08327030000-01;;;;;433;433;6;427;116;178;21;27;59;7;6;;;5;;;;2;;;0;;;2;4;
08327033001-01 Gemeinde Mahlstetten Mahlstetten 08327033001-01;623;323;300;0;142;0;5;137;31;38;23;10;11;8;0;;;6;;;;5;;;0;;;2;3;
08327033900-01 Gemeinde Mahlstetten Briefwahl 08327033000-01;;;;;292;292;9;283;83;102;12;18;30;5;7;;;15;;;;4;;;2;;;3;2;
08327036001-01 Stadt Mühlheim an der Donau Mühlheim 08327036001;2784;1420;1364;0;674;0;10;664;187;153;134;53;81;10;3;;;16;;;;12;;;5;;;6;4;
08327036900-01 Stadt Mühlheim an der Donau Briefwahlbezirk 08327036B1;;;;;1297;1297;11;1286;432;434;84;99;130;29;28;;;20;;;;9;;;11;;;7;3;
08327038001-01 Gemeinde Neuhausen ob Eck Neuhausen ob Eck 08327038101;1752;1199;553;0;453;0;5;448;111;78;103;35;65;17;0;;;24;;;;8;;;2;;;4;1;
08327038001-02 Gemeinde Neuhausen ob Eck Schwandorf 08327038102;596;427;169;0;250;0;3;247;72;79;34;9;27;10;2;;;3;;;;3;;;1;;;2;5;
08327038001-03 Gemeinde Neuhausen ob Eck Worndorf 08327038103;523;395;128;0;201;0;4;197;48;61;28;14;33;3;0;;;8;;;;2;;;0;;;0;0;
08327038900-01 Gemeinde Neuhausen ob Eck Briefwahl 08327038900;;;;;800;800;2;798;275;246;81;47;83;19;4;;;11;;;;10;;;9;;;7;6;
08327040001-01 Gemeinde Reichenbach am Heuberg Reichenbach am Heuberg 08327040001-01;320;236;84;0;115;0;3;112;25;36;27;3;11;5;0;;;1;;;;3;;;0;;;1;0;
08327040900-01 Gemeinde Reichenbach am Heuberg Briefwahl 08327040000-01;;;;;83;83;0;83;23;28;13;7;8;0;0;;;0;;;;0;;;0;;;1;3;
08327041001-01 Gemeinde Renquishausen Renquishausen 08327041001-01;582;351;231;0;230;0;4;226;45;79;32;9;35;2;2;;;8;;;;4;;;1;;;9;0;
08327041900-01 Gemeinde Renquishausen Briefwahl 08327041000-01;;;;;228;228;4;224;41;86;33;6;34;4;5;;;7;;;;2;;;1;;;1;4;
08327046001-01 Stadt Spaichingen 01 - Realschule 1 0832704601;969;712;257;0;293;1;1;292;71;59;70;18;50;4;1;;;7;;;;6;;;0;;;3;3;
08327046001-02 Stadt Spaichingen 02 - Realschule 2 0832704602;1091;720;371;0;320;1;2;318;73;60;79;26;52;16;1;;;5;;;;2;;;0;;;0;4;
08327046001-03 Stadt Spaichingen 03 - Kindergarten St. Raphael 0832704603;974;576;398;0;212;2;0;212;58;38;52;13;36;6;0;;;7;;;;2;;;0;;;0;0;
08327046001-04 Stadt Spaichingen 04 - Kindergarten Sonnenschein 0832704604;862;505;357;0;226;0;0;226;53;57;41;25;36;5;3;;;2;;;;0;;;2;;;1;1;
08327046001-05 Stadt Spaichingen 05 - Haus der Musik 0832704605;1027;680;347;0;300;0;2;298;77;65;56;14;45;13;4;;;7;;;;7;;;1;;;5;4;
08327046001-06 Stadt Spaichingen 06 - Kindergarten St. Franziskus 0832704606;815;477;338;0;188;0;2;186;50;41;37;13;28;1;0;;;5;;;;5;;;3;;;3;0;
08327046001-07 Stadt Spaichingen 07 - Dr.-Matthias-May-Haus 0832704607;1120;757;363;0;348;1;1;347;101;66;61;26;48;14;3;;;13;;;;5;;;4;;;2;4;
08327046001-08 Stadt Spaichingen 08 - Ehem. FK-Heim 0832704608;980;696;284;0;262;0;0;262;62;69;58;18;31;12;2;;;5;;;;4;;;0;;;0;1;
08327046001-09 Stadt Spaichingen 09 - Rathaus 0832704609;1065;774;291;0;247;0;5;242;73;42;56;24;25;10;0;;;4;;;;4;;;0;;;2;2;
08327046900-01 Stadt Spaichingen Briefwahl 1 083270461;;;;;1630;1630;5;1625;583;555;117;74;190;23;14;;;31;;;;9;;;8;;;11;10;
08327046900-02 Stadt Spaichingen Briefwahl 2 083270462;;;;;1213;1213;2;1211;396;442;76;75;132;24;14;;;17;;;;7;;;19;;;4;5;
08327048001-01 Gemeinde Talheim Urnenwahl 08327048001;957;633;324;0;298;0;0;298;68;90;43;23;37;14;1;;;11;;;;5;;;1;;;5;0;
08327048900-01 Gemeinde Talheim Briefwahl 08327048B1;;;;;314;314;5;309;90;118;23;28;25;9;2;;;7;;;;2;;;2;;;2;1;
08327049001-01 Stadt Trossingen Dr.-Ernst-Hohner-Konzerthaus 08327049001-01;2191;1352;839;0;333;2;3;330;85;57;80;18;34;14;2;;;16;;;;8;;;6;;;10;0;
08327049001-02 Stadt Trossingen Ganztagesschule Mensa 08327049001-02;2287;1417;870;0;436;1;5;431;102;65;112;40;70;18;0;;;10;;;;5;;;4;;;2;3;
08327049001-03 Stadt Trossingen Löhrschule 08327049001-03;2096;1444;652;0;284;0;2;282;60;52;83;18;35;15;4;;;7;;;;1;;;1;;;3;3;
08327049001-04 Stadt Trossingen Kellenbachschule 08327049001-04;2653;1687;966;0;468;1;4;464;82;108;146;31;51;16;4;;;9;;;;8;;;2;;;4;3;
08327049001-05 Stadt Trossingen Gymnasium Trossingen 08327049001-05;1535;1050;485;0;311;1;3;308;44;83;91;19;37;7;4;;;7;;;;1;;;0;;;11;4;
08327049900-01 Stadt Trossingen Briefwahlbezirk 1, Rathaus, Großer Sitzungssaal 08327049900-01;;;;;789;789;5;784;271;227;57;48;95;33;2;;;25;;;;5;;;11;;;3;7;
08327049900-02 Stadt Trossingen Briefwahlbezirk 2, Rathaus, Kleiner Sitzungssaal 08327049900-02;;;;;827;827;2;825;278;239;71;80;97;13;5;;;16;;;;8;;;8;;;6;4;
08327049900-03 Stadt Trossingen Briefwahlbezirk 3, Rathaus, Sozialamt Zimmer 013-017 08327049900-03;;;;;621;621;1;620;170;199;54;47;72;29;9;;;26;;;;2;;;5;;;1;6;
08327049900-04 Stadt Trossingen Briefwahlbezirk 4, Rathaus, Stadtkasse, Zimmer 109 08327049900-04;;;;;928;928;6;922;314;246;86;68;113;19;12;;;27;;;;14;;;8;;;8;7;
08327049900-05 Stadt Trossingen Briefwahlbezirk 5, Rathaus, Gebäudemanagement, Zimmer 117a 08327049900-05;;;;;464;464;2;462;128;144;50;37;72;10;2;;;10;;;;1;;;5;;;1;2;
08327050001-01 Stadt Tuttlingen 010-01 Rathaus - Foyer 08327050010-01;852;707;145;0;186;0;2;184;49;38;29;18;32;9;1;;;3;;;;0;;;1;;;2;2;
08327050001-02 Stadt Tuttlingen 010-02 Schillerschule 08327050010-02;1011;788;223;0;301;1;4;297;106;50;38;28;44;7;1;;;11;;;;1;;;3;;;6;2;
08327050001-03 Stadt Tuttlingen 010-03 Kindergarten Bergstraße 08327050010-03;815;685;130;0;202;0;6;196;44;42;28;25;28;16;1;;;5;;;;3;;;2;;;1;1;
08327050001-04 Stadt Tuttlingen 010-04 Ludwig-Uhland-Realschule 08327050010-04;879;688;191;0;217;2;4;213;58;49;34;24;19;9;3;;;4;;;;3;;;0;;;6;4;
08327050001-05 Stadt Tuttlingen 010-05 Sporthalle Ludwig-Uhland-Realschule 08327050010-05;925;662;263;0;207;0;2;205;47;49;32;18;27;8;5;;;6;;;;9;;;1;;;2;1;
08327050001-06 Stadt Tuttlingen 010-06 Schrotenschule 08327050010-06;855;656;199;0;270;1;4;266;90;53;45;23;34;4;2;;;5;;;;4;;;0;;;5;1;
08327050001-07 Stadt Tuttlingen 010-07 Feuerwache 08327050010-07;778;597;181;0;243;1;4;239;79;41;40;29;25;12;0;;;8;;;;0;;;1;;;3;1;
08327050001-08 Stadt Tuttlingen 010-08 Kindergarten Hinter Aspen 08327050010-08;935;692;243;0;281;2;4;277;83;61;55;18;33;11;1;;;6;;;;4;;;2;;;2;1;
08327050001-09 Stadt Tuttlingen 010-09 Lebenshilfe 08327050010-09;984;739;245;0;291;0;9;282;80;72;61;29;26;8;0;;;3;;;;1;;;0;;;1;1;
08327050001-10 Stadt Tuttlingen 010-10 Kreissparkasse Zweigstelle Neuhauser Straße 08327050010-10;963;764;199;0;257;0;5;252;69;59;60;24;18;4;1;;;7;;;;1;;;2;;;4;3;
08327050001-11 Stadt Tuttlingen 010-11 Martinskirche 08327050010-11;1047;635;412;0;318;0;4;314;99;84;42;23;40;6;2;;;7;;;;3;;;4;;;4;0;
08327050001-12 Stadt Tuttlingen 010-12 Grundschule im Holderstöckle 08327050010-12;911;652;259;0;278;2;5;273;79;72;50;17;39;6;1;;;3;;;;0;;;0;;;2;4;
08327050001-13 Stadt Tuttlingen 010-13 Gemeindesaal Lohmehlen 08327050010-13;938;686;252;0;324;3;2;322;91;74;59;35;30;13;0;;;4;;;;8;;;2;;;5;1;
08327050001-14 Stadt Tuttlingen 020-01 Gymnasiumturnhalle - Immanuel-Kant-Gymnasium 08327050020-01;1000;680;320;0;249;0;6;243;71;43;41;22;37;16;1;;;4;;;;0;;;0;;;4;4;
08327050001-15 Stadt Tuttlingen 020-02 Schildrainschule 08327050020-02;997;610;387;0;300;0;1;299;92;75;38;21;53;12;6;;;0;;;;0;;;1;;;1;0;
08327050001-16 Stadt Tuttlingen 020-03 Mutpol 08327050020-03;996;732;264;0;331;2;3;328;99;52;66;30;53;7;0;;;8;;;;2;;;1;;;9;1;
08327050001-17 Stadt Tuttlingen 020-04 Albert-Schweitzer-Schule 08327050020-04;899;762;137;0;200;0;4;196;40;35;40;26;27;16;2;;;7;;;;0;;;1;;;2;0;
08327050001-18 Stadt Tuttlingen 020-05 Kindergarten Altwegen 08327050020-05;885;571;314;0;248;0;3;245;97;63;36;21;15;2;0;;;5;;;;1;;;1;;;1;3;
08327050001-19 Stadt Tuttlingen 030-01 Geschäftsstelle Möhringen I 08327050030-01;838;551;287;0;254;0;6;248;95;55;45;13;19;11;3;;;4;;;;1;;;0;;;2;0;
08327050001-20 Stadt Tuttlingen 030-02 Geschäftsstelle Möhringen II 08327050030-02;974;585;389;0;260;1;5;255;85;48;46;19;33;9;1;;;5;;;;5;;;2;;;1;1;
08327050001-21 Stadt Tuttlingen 030-03 Gemeindesaal Möhringer Vorstadt 08327050030-03;1092;835;257;0;331;0;4;327;106;73;74;24;25;6;0;;;5;;;;4;;;2;;;6;2;
08327050001-22 Stadt Tuttlingen 040-01 Pfarrscheuer Eßlingen 08327050040-01;299;189;110;0;81;0;3;78;20;17;19;6;5;3;0;;;3;;;;3;;;0;;;2;0;
08327050001-23 Stadt Tuttlingen 050-01 Geschäftsstelle Nendingen 08327050050-01;931;577;354;0;314;0;3;311;66;89;42;33;54;9;2;;;5;;;;2;;;4;;;3;2;
08327050001-24 Stadt Tuttlingen 050-02 GS Donauschule Nendingen 08327050050-02;1177;797;380;0;438;0;8;430;126;109;66;32;45;14;4;;;13;;;;1;;;3;;;12;5;
08327050900-01 Stadt Tuttlingen 099-01 Briefwahl I 08327050099-01;;;;;741;741;2;739;282;227;50;53;68;19;5;;;12;;;;3;;;10;;;3;7;
08327050900-02 Stadt Tuttlingen 099-02 Briefwahl II 08327050099-02;;;;;826;826;4;822;324;234;70;50;51;29;5;;;19;;;;15;;;9;;;5;11;
08327050900-03 Stadt Tuttlingen 099-03 Briefwahl III 08327050099-03;;;;;679;679;3;676;253;198;64;54;57;23;9;;;10;;;;4;;;2;;;0;2;
08327050900-04 Stadt Tuttlingen 099-04 Briefwahl IV 08327050099-04;;;;;736;736;2;734;292;216;62;60;66;10;3;;;12;;;;3;;;2;;;4;4;
08327050900-05 Stadt Tuttlingen 099-05 Briefwahl V 08327050099-05;;;;;733;733;5;728;273;224;37;68;80;14;7;;;12;;;;3;;;1;;;5;4;
08327050900-06 Stadt Tuttlingen 099-06 Briefwahl VI 08327050099-06;;;;;698;698;1;697;277;198;57;51;65;21;2;;;10;;;;3;;;4;;;6;3;
08327050900-07 Stadt Tuttlingen 099-07 Briefwahl VII 08327050099-07;;;;;701;701;4;697;269;207;51;57;64;15;4;;;12;;;;1;;;2;;;4;11;
08327050900-08 Stadt Tuttlingen 099-08 Briefwahl VIII 08327050099-08;;;;;675;675;0;675;243;216;40;57;73;9;1;;;14;;;;7;;;2;;;7;6;
08327051001-01 Gemeinde Wehingen Wehingen 08327051001-01;2285;1517;768;0;604;0;7;597;120;161;139;43;85;16;3;;;9;;;;12;;;2;;;7;0;
08327051900-01 Gemeinde Wehingen Briefwahl 08327051000-01;;;;;727;727;9;718;168;319;61;23;92;16;5;;;21;;;;4;;;1;;;8;0;
08327054001-01 Gemeinde Wurmlingen Wurmlingen Wahlbezirk I 08327054001-01;1254;711;543;0;285;0;2;283;62;68;50;27;37;10;1;;;12;;;;8;;;0;;;7;1;
08327054001-02 Gemeinde Wurmlingen Wurmlingen Wahlbezirk II 08327054001-02;1637;809;828;0;365;0;3;362;90;89;69;30;47;6;2;;;9;;;;7;;;2;;;4;7;
08327054900-01 Gemeinde Wurmlingen Briefwahl 08327054000-01;;;;;1322;1322;10;1312;423;521;85;89;115;22;7;;;22;;;;8;;;6;;;7;7;
08327055001-01 Gemeinde Seitingen-Oberflacht Seitingen-Oberflacht 08327055001-01;1829;1060;769;0;496;0;1;495;113;117;101;50;59;14;1;;;13;;;;4;;;6;;;15;2;
08327055900-01 Gemeinde Seitingen-Oberflacht Briefwahl 08327055000-01;;;;;733;733;1;732;219;270;47;54;100;13;3;;;20;;;;1;;;3;;;2;0;
08327056001-01 Gemeinde Rietheim-Weilheim 01001-Rietheim 0832705601001;1252;774;478;0;357;0;6;351;95;77;55;37;55;8;3;;;6;;;;4;;;2;;;6;3;
08327056001-02 Gemeinde Rietheim-Weilheim 02002-Weilheim 0832705602002;822;563;259;0;299;0;8;291;69;78;47;16;56;7;3;;;6;;;;0;;;3;;;4;2;
08327056900-01 Gemeinde Rietheim-Weilheim B1-Briefwahl 08327056B1;;;;;703;703;2;701;221;238;49;42;93;13;3;;;15;;;;6;;;3;;;13;5;
08327057001-01 Gemeinde Emmingen-Liptingen 01001 Emmingen 0832705701001;2183;1267;916;0;504;0;8;496;94;125;109;32;80;7;6;;;22;;;;8;;;2;;;8;3;
08327057001-02 Gemeinde Emmingen-Liptingen 02001 Liptingen 0832705702001;1331;835;496;0;416;0;4;412;102;94;95;26;47;9;3;;;11;;;;13;;;6;;;5;1;
08327057900-01 Gemeinde Emmingen-Liptingen Briefwahl 08327057B1;;;;;1351;1351;14;1337;367;431;141;89;178;43;8;;;34;;;;15;;;14;;;13;4;
08335002001-01 Gemeinde Allensbach 01 Wahlbezirk  Allensbach 0833500201;874;477;397;0;267;0;0;267;109;52;10;25;27;19;0;;5;9;;;;;;;1;;;9;1;
08335002001-02 Gemeinde Allensbach 02 Wahlbezirk  Allensbach 0833500202;1023;497;526;0;235;1;2;233;94;40;30;17;30;9;1;;4;6;;;;;;;0;;;1;1;
08335002001-03 Gemeinde Allensbach 03 Wahlbezirk  Allensbach 0833500203;942;550;392;0;308;0;2;306;126;64;32;25;29;6;2;;11;8;;;;;;;0;;;3;0;
08335002001-04 Gemeinde Allensbach 04 Wahlbezirk  Allensbach 0833500204;1042;570;472;0;301;1;1;300;118;54;21;34;32;11;1;;10;9;;;;;;;4;;;3;3;
08335002001-05 Gemeinde Allensbach 05 Wahlbezirk  Hegne 0833500205;673;363;310;0;182;2;3;179;58;52;15;13;28;2;0;;3;6;;;;;;;1;;;1;0;
08335002001-06 Gemeinde Allensbach 06 Wahlbezirk Kaltbrunn 0833500206;537;328;209;0;176;0;1;175;59;42;20;10;31;5;2;;2;2;;;;;;;0;;;2;0;
08335002001-07 Gemeinde Allensbach 07 Wahlbzirk  Langenrain-Freudental 0833500207;333;220;113;0;129;0;2;127;33;51;9;6;13;5;3;;0;7;;;;;;;0;;;0;0;
08335002900-01 Gemeinde Allensbach Briefwahl 1 08335002BW  1;;;;;785;785;4;781;323;258;25;60;53;27;3;;9;12;;;;;;;2;;;6;3;
08335002900-02 Gemeinde Allensbach Briefwahl 2 08335002BW 2;;;;;796;796;2;794;377;161;33;69;79;24;4;;10;26;;;;;;;5;;;4;2;
08335002900-03 Gemeinde Allensbach Briefwahl 3 08335002BW 3;;;;;737;737;1;736;341;156;31;58;84;15;4;;7;29;;;;;;;4;;;3;4;
08335025001-01 Gemeinde Gaienhofen WB Gaienhofen / Hemmenhofen 08335025101;1205;603;602;0;283;0;1;282;97;44;38;23;36;4;1;;9;22;;;;;;;2;;;4;2;
08335025001-02 Gemeinde Gaienhofen WB Horn / Gundholzen 08335025201;1298;634;664;0;306;0;3;303;88;71;34;16;33;9;2;;5;33;;;;;;;3;;;6;3;
08335025900-01 Gemeinde Gaienhofen Briefwahlbezirk 1 08335025BW1;;;;;627;627;4;623;199;163;30;44;87;10;0;;1;81;;;;;;;2;;;6;0;
08335025900-02 Gemeinde Gaienhofen Briefwahlbezirk 2 08335025BW2;;;;;543;543;2;541;194;142;16;21;77;8;1;;9;61;;;;;;;5;;;2;5;
08335043001-01 Stadt Konstanz 010 01 Stephanshaus 0833504301001;1214;664;550;0;236;1;2;234;95;29;15;20;25;24;3;;7;2;;;;;;;2;;;7;5;
08335043001-02 Stadt Konstanz 010 02 Stephansschule 0833504301002;2738;1425;1312;1;600;5;2;598;261;61;27;61;64;67;6;;14;12;;;;;;;9;;;10;6;
08335043001-03 Stadt Konstanz 010 03 Seniorenzentrum 0833504301003;2279;1209;1070;0;438;2;4;434;187;34;25;53;43;51;3;;10;4;;;;;;;6;;;13;5;
08335043001-04 Stadt Konstanz 010 04 Ellenrieder-Gymnasium I 0833504301004;2529;1293;1236;0;513;5;2;511;258;46;31;60;43;39;5;;10;6;;;;;;;5;;;4;4;
08335043001-05 Stadt Konstanz 020 01 Schänzlesporthalle 0833504302001;1608;858;750;0;327;11;1;326;159;31;17;23;34;23;3;;10;5;;;;;;;10;;;4;7;
08335043001-06 Stadt Konstanz 020 02 Wessenbergschule 0833504302002;1520;866;654;0;251;0;2;249;111;23;34;25;22;23;0;;4;3;;;;;;;3;;;0;1;
08335043001-07 Stadt Konstanz 020 03 Ellenrieder-Gymnasium II 0833504302003;1522;842;680;0;281;0;5;276;134;21;15;26;16;28;2;;10;0;;;;;;;7;;;8;9;
08335043001-08 Stadt Konstanz 030 01 Treffpunkt Petershausen 0833504303001;2616;1510;1106;0;520;3;2;518;209;56;32;66;53;44;0;;24;11;;;;;;;10;;;6;7;
08335043001-09 Stadt Konstanz 030 02 Theodor-Heuss-Realschule 0833504303002;2210;1351;859;0;324;4;0;324;122;32;34;34;34;32;3;;10;11;;;;;;;6;;;4;2;
08335043001-10 Stadt Konstanz 030 03 Gemeinschaftsschule Gebhard 0833504303003;2157;1315;842;0;364;8;2;362;121;42;38;29;35;59;1;;9;4;;;;;;;14;;;1;9;
08335043001-11 Stadt Konstanz 030 04 St. Suso Kirche 0833504303004;2658;1557;1101;0;520;6;5;515;195;71;52;45;45;54;3;;15;11;;;;;;;11;;;4;9;
08335043001-12 Stadt Konstanz 030 05 KIKUZ-Raiteburg 0833504303005;1012;601;411;0;210;2;1;209;81;25;23;27;23;15;0;;4;6;;;;;;;2;;;3;0;
08335043001-13 Stadt Konstanz 035 01 Grundschule Sonnenhalde 0833504303501;1029;538;491;0;249;5;0;249;109;44;14;28;24;18;2;;2;0;;;;;;;5;;;3;0;
08335043001-14 Stadt Konstanz 035 02 Heinrich-Suso-Gymnasium I 0833504303502;1405;794;611;0;242;3;1;241;101;28;20;17;27;25;3;;6;1;;;;;;;7;;;3;3;
08335043001-15 Stadt Konstanz 035 03 Heinrich-Suso-Gymnasium II 0833504303503;1505;734;771;0;320;7;2;318;131;50;30;27;43;17;1;;6;2;;;;;;;8;;;2;1;
08335043001-16 Stadt Konstanz 035 04 Kath. Kirchengemeinde Maria Hilf 0833504303504;1468;645;823;0;205;2;1;204;74;43;14;14;32;11;1;;2;2;;;;;;;3;;;8;0;
08335043001-17 Stadt Konstanz 040 01 Katholische Hochschulgemeinde 0833504304001;1967;1281;686;0;293;12;3;290;119;40;32;30;25;21;3;;4;4;;;;;;;2;;;6;4;
08335043001-18 Stadt Konstanz 040 02 Schule am Buchenberg 0833504304002;2249;1247;1002;0;438;12;3;435;164;48;34;39;48;66;1;;10;10;;;;;;;6;;;4;5;
08335043001-19 Stadt Konstanz 050 01 Grundschule Allmannsdorf 0833504305001;2650;1294;1356;0;546;11;5;541;222;85;32;57;57;45;6;;10;5;;;;;;;6;;;10;6;
08335043001-20 Stadt Konstanz 050 02 St. Georg Kirche 0833504305002;1411;626;785;0;241;5;1;240;112;39;7;22;19;19;1;;5;2;;;;;;;10;;;1;3;
08335043001-21 Stadt Konstanz 060 01 Gemeindezentrum Kreuzpfarrei 0833504306001;1414;661;753;0;315;10;3;312;124;65;24;26;31;19;5;;2;3;;;;;;;3;;;7;3;
08335043001-22 Stadt Konstanz 070 01 Kirchengemeinde St. Gallus 0833504307001;2377;1558;819;0;453;5;1;452;159;57;37;43;37;62;1;;21;2;;;;;;;9;;;13;11;
08335043001-23 Stadt Konstanz 070 02 Grund- und Werkrealschule Berchen I 0833504307002;2196;1569;627;0;429;7;3;426;168;51;74;40;30;31;1;;9;8;;;;;;;4;;;7;3;
08335043001-24 Stadt Konstanz 070 03 Grundschule Wollmatingen 0833504307003;1363;767;596;0;238;7;2;236;99;37;14;31;23;17;3;;1;2;;;;;;;1;;;5;3;
08335043001-25 Stadt Konstanz 070 04 Geschwister-Scholl-Schule 0833504307004;2540;1463;1077;0;463;6;4;459;185;65;45;43;47;35;3;;8;10;;;;;;;6;;;8;4;
08335043001-26 Stadt Konstanz 080 01 Grund- und Werkrealschule Berchen II 0833504308001;2259;1489;770;0;400;4;1;399;156;52;58;38;39;20;2;;11;6;;;;;;;9;;;6;2;
08335043001-27 Stadt Konstanz 080 02 Wollmatinger Halle 0833504308002;2276;1234;1042;0;416;4;2;414;152;76;42;33;54;28;0;;3;11;;;;;;;3;;;11;1;
08335043001-28 Stadt Konstanz 090 01 Entsorgungsbetriebe 0833504309001;530;372;158;0;82;0;0;82;34;11;8;10;5;7;0;;2;1;;;;;;;0;;;1;3;
08335043001-29 Stadt Konstanz 100 01 Historische Gymnastikhalle Universität 0833504310001;550;278;272;0;144;2;4;140;57;30;11;10;13;5;0;;3;4;;;;;;;2;;;4;1;
08335043001-30 Stadt Konstanz 110 01 Grundschule Litzelstetten 0833504311001;1917;930;987;0;362;6;2;360;146;54;31;31;51;18;3;;8;7;;;;;;;5;;;4;2;
